abbyylang,code,isoname
Kachin,kac,Kachin
Kalmyk,xal,Kalmyk
KarachayBalkar,,
Karakalpak,,
Kashmiri,kas,Kashmiri
KashmiriIndia,,
Kasub,,
Kawa,,
Kazakh,kaz,Kazakh
Khakas,kjh,Khakas
Khanty,kca,Khanty
Kikuyu,kik,Kikuyu
Kirgiz,,
KomiPermian,,
KomiZyryan,,
Kongo,kon,Kongo
Konkani,,
Korean,kor,Korean
KoreanJohab,,
Koryak,kpy,Koryak
Kpelle,kpe,Kpelle
Kumyk,kum,Kumyk
Kurdish,kur,Kurdish
KurdishCyrillic,,
Lak,lbe,Lak
Lappish,,
Latin_Legacy,,
Latin,lat,Latin
Latvian,lav,Latvian
LatvianGothic,,
Lezgin,,
Lithuanian,lit,Lithuanian
LithuanianClassic,,
Luba,,
Macedonian,mkd,Macedonian
Malagasy,mlg,Malagasy
Malay,,
MalayBruneiDarussalam,,
MalayMalaysian,,
Malinke,,
Maltese,mlt,Maltese
Manipuri,mni,Manipuri
Mansi,mns,Mansi
Maori,mri,Maori
Marathi,mar,Marathi
Mari,,
Maya,,
Miao,,
Minankabaw,,
Mohawk,moh,Mohawk
Mongol,mgt,Mongol
Mordvin,,
Nahuatl,,
Nanai,gld,Nanai
Nenets,yrk,Nenets
Nepali,,
NepaliIndia,,
Nivkh,,
Nogay,,
Norwegian,nor,Norwegian
NorwegianBokmal,nob,Norwegian Bokmål
NorwegianNynorsk,nno,Norwegian Nynorsk
Nyanja,nya,Nyanja
Occidental,ile,Interlingue
Ojibway,,
OldEnglish,,
OldFrench,,
OldGerman,,
OldItalian,,
OldSlavonic,,
OldSpanish,,
Ossetic,oss,Ossetian
Papiamento,pap,Papiamento
Papiamento_Legacy,,
PidginEnglish,,
Pinyin,pny,Pinyin
Polish,pol,Polish
PortugueseBrazilian,,
PortugueseStandard,,
Provencal,,
Punjabi,pan,Panjabi
Quechua,que,Quechua
QuechuaBolivia,,
QuechuaEcuador,,
QuechuaPeru,,
Quechua_Legacy,,
RhaetoRomanic,,
Romanian,ron,Romanian
RomanianMoldavia,,
Romany,rom,Romany
Ruanda,,
Rundi,run,Rundi
Russian,rus,Russian
RussianMoldavia,,
RussianOldSpelling,rus,Russian
RussianProperNames,,
Saami,,
Samoan,smo,Samoan
Sanskrit,san,Sanskrit
Selkup,sel,Selkup
SerbianCyrillic,,
SerbianLatin,,
Shona,sna,Shona
Sindhi,snd,Sindhi
Sioux,,
Slovak,slk,Slovak
Slovenian,slv,Slovenian
Somali,som,Somali
Somali_Legacy,,
Sorbian,,
Sotho,,
SpanishArgentina,,
SpanishBolivia,,
SpanishChile,,
SpanishColombia,,
SpanishCostaRica,,
SpanishDominicanRepublic,,
SpanishEcuador,,
SpanishElSalvador,,
SpanishGuatemala,,
SpanishHonduras,,
SpanishMexican,,
SpanishModernSort,,
SpanishNicaragua,,
SpanishPanama,,
SpanishParaguay,,
SpanishPeru,,
SpanishProperNames,,
SpanishPuertoRico,,
SpanishTraditionalSort,spa,Spanish
SpanishUruguay,,
SpanishVenezuela,,
Spanish,spa,Spanish
Sunda,,
Sutu,,
Swahili,swa,Swahili (macrolanguage)
Swazi,,
Swedish,swe,Swedish
SwedishFinland,,
Tabassaran,tab,Tabassaran
Tagalog,tgl,Tagalog
Tahitian,tah,Tahitian
Tajik,tgk,Tajik
Tajik_Legacy,,
Tibet,,
Tinpo,,
Tongan,,
Tsonga,tso,Tsonga
Tswana,tsn,Tswana
Tun,,
Turkish,tur,Turkish
Turkmen,tuk,Turkmen
TurkmenLatin,,
Turkmen_Legacy,,
Tuvin,,
Udmurt,udm,Udmurt
Uighur,uig,Uighur
UighurCyrillic,,
UighurLatin,,
Ukrainian,ukr,Ukrainian
Universal,,
UrduIndia,,
UrduPakistan,,
User,,
UzbekCyrillic,,
UzbekLatin,,
Venda,ven,Venda
Vietnamese,vie,Vietnamese
Visayan,,
Welsh,cym,Welsh
Welsh_Legacy,,
Wend,,
Wolof,wol,Wolof
Wolof_Legacy,,
Xhosa,xho,Xhosa
Yakut,sah,Yakut
Yakut_Legacy,,
Yiddish,yid,Yiddish
Zapotec,zap,Zapotec
